Property	Value	.05 (14.067)	.01 (18.475)	.001 (24.322)
Transfer energy, organic solvent/water (NOZY710101)	233.935	*	*	*
Average non-bonded energy per atom (OOBM770101)	338.772	*	*	*
Short and medium range non-bonded energy per atom (OOBM770102)	245.22	*	*	*
Long range non-bonded energy per atom (OOBM770103)	376.278	*	*	*
Average non-bonded energy per residue (OOBM770104)	219.852	*	*	*
Short and medium range non-bonded energy per residue (OOBM770105)	227.792	*	*	*
Optimized beta-structure-coil equilibrium constant (OOBM850101)	133.504	*	*	*
Optimized propensity to form reverse turn (OOBM850102)	84.149	*	*	*
Optimized transfer energy parameter (OOBM850103)	236.716	*	*	*
Optimized average non-bonded energy per atom (OOBM850104)	190.243	*	*	*
Optimized side chain interaction parameter (OOBM850105)	252.209	*	*	*
Normalized frequency of alpha-helix from LG (PALJ810101)	326.051	*	*	*
Normalized frequency of alpha-helix from CF (PALJ810102)	188.726	*	*	*
Normalized frequency of beta-sheet from LG (PALJ810103)	159.493	*	*	*
Normalized frequency of beta-sheet from CF (PALJ810104)	158.66	*	*	*
Normalized frequency of turn from LG (PALJ810105)	265.486	*	*	*
Normalized frequency of turn from CF (PALJ810106)	162.37	*	*	*
Normalized frequency of alpha-helix in all-alpha class (PALJ810107)	226.408	*	*	*
Normalized frequency of alpha-helix in alpha+beta class (PALJ810108)	362.078	*	*	*
Normalized frequency of alpha-helix in alpha/beta class (PALJ810109)	119.232	*	*	*
Normalized frequency of beta-sheet in all-beta class (PALJ810110)	111.284	*	*	*
Normalized frequency of beta-sheet in alpha+beta class (PALJ810111)	152.275	*	*	*
Normalized frequency of beta-sheet in alpha/beta class (PALJ810112)	217.324	*	*	*
Normalized frequency of turn in all-alpha class (PALJ810113)	299.947	*	*	*
Normalized frequency of turn in all-beta class (PALJ810114)	335.397	*	*	*
Normalized frequency of turn in alpha+beta class (PALJ810115)	335.116	*	*	*
Normalized frequency of turn in alpha/beta class (PALJ810116)	216.215	*	*	*
HPLC parameter (PARJ860101)	276.216	*	*	*
Partition coefficient (PLIV810101)	236.46	*	*	*
Surrounding hydrophobicity in folded form (PONP800101)	450.911	*	*	*
Average gain in surrounding hydrophobicity (PONP800102)	296.683	*	*	*
Average gain ratio in surrounding hydrophobicity (PONP800103)	302.853	*	*	*
Surrounding hydrophobicity in alpha-helix (PONP800104)	364.599	*	*	*
Surrounding hydrophobicity in beta-sheet (PONP800105)	161.745	*	*	*
Surrounding hydrophobicity in turn (PONP800106)	215.23	*	*	*
Accessibility reduction ratio (PONP800107)	103.078	*	*	*
Average number of surrounding residues (PONP800108)	303.128	*	*	*
Intercept in regression analysis (PRAM820101)	252.077	*	*	*
Slope in regression analysis x 1.0E1 (PRAM820102)	174.813	*	*	*
Correlation coefficient in regression analysis (PRAM820103)	369.974	*	*	*
Hydrophobicity (PRAM900101)	217.378	*	*	*
Relative frequency in reverse-turn (PRAM900104)	221.654	*	*	*
Helix-coil equilibrium constant (PTIO830101)	83.48	*	*	*
Beta-coil equilibrium constant (PTIO830102)	443.253	*	*	*
Weights for alpha-helix at the window position of -6 (QIAN880101)	482.888	*	*	*
Weights for alpha-helix at the window position of -5 (QIAN880102)	386.883	*	*	*
Weights for alpha-helix at the window position of -4 (QIAN880103)	145.033	*	*	*
Weights for alpha-helix at the window position of -3 (QIAN880104)	330.351	*	*	*
Weights for alpha-helix at the window position of -2 (QIAN880105)	274.866	*	*	*
Weights for alpha-helix at the window position of -1 (QIAN880106)	344.181	*	*	*
Weights for alpha-helix at the window position of 0 (QIAN880107)	247.508	*	*	*
Weights for alpha-helix at the window position of 1 (QIAN880108)	94.817	*	*	*
Weights for alpha-helix at the window position of 2 (QIAN880109)	136.062	*	*	*
Weights for alpha-helix at the window position of 3 (QIAN880110)	125.745	*	*	*
Weights for alpha-helix at the window position of 4 (QIAN880111)	114.553	*	*	*
Weights for alpha-helix at the window position of 5 (QIAN880112)	324.382	*	*	*
Weights for alpha-helix at the window position of 6 (QIAN880113)	368.188	*	*	*
Weights for beta-sheet at the window position of -6 (QIAN880114)	297.326	*	*	*
Weights for beta-sheet at the window position of -5 (QIAN880115)	168.823	*	*	*
Weights for beta-sheet at the window position of -4 (QIAN880116)	339.068	*	*	*
Weights for beta-sheet at the window position of -3 (QIAN880117)	350.15	*	*	*
Weights for beta-sheet at the window position of -2 (QIAN880118)	125.95	*	*	*
Weights for beta-sheet at the window position of -1 (QIAN880119)	102.09	*	*	*
Weights for beta-sheet at the window position of 0 (QIAN880120)	319.143	*	*	*
Weights for beta-sheet at the window position of 1 (QIAN880121)	231.855	*	*	*
Weights for beta-sheet at the window position of 2 (QIAN880122)	329.175	*	*	*
Weights for beta-sheet at the window position of 3 (QIAN880123)	413.651	*	*	*
Weights for beta-sheet at the window position of 4 (QIAN880124)	317.093	*	*	*
Weights for beta-sheet at the window position of 5 (QIAN880125)	137.393	*	*	*
Weights for beta-sheet at the window position of 6 (QIAN880126)	477.795	*	*	*
Weights for coil at the window position of -6 (QIAN880127)	331.057	*	*	*
Weights for coil at the window position of -5 (QIAN880128)	501.121	*	*	*
Weights for coil at the window position of -4 (QIAN880129)	214.391	*	*	*
Weights for coil at the window position of -3 (QIAN880130)	345.072	*	*	*
Weights for coil at the window position of -2 (QIAN880131)	135.29	*	*	*
Weights for coil at the window position of -1 (QIAN880132)	232.186	*	*	*
Weights for coil at the window position of 0 (QIAN880133)	345.13	*	*	*
Weights for coil at the window position of 1 (QIAN880134)	367.081	*	*	*
Weights for coil at the window position of 2 (QIAN880135)	177.238	*	*	*
Weights for coil at the window position of 3 (QIAN880136)	377.932	*	*	*
Weights for coil at the window position of 4 (QIAN880137)	169.963	*	*	*
Weights for coil at the window position of 5 (QIAN880138)	444.704	*	*	*
Weights for coil at the window position of 6 (QIAN880139)	271.938	*	*	*
Average reduced distance for C-alpha (RACS770101)	243.357	*	*	*
Average reduced distance for side chain (RACS770102)	224.778	*	*	*
Side chain orientational preference (RACS770103)	348.458	*	*	*
Average relative fractional occurrence in A0(i) (RACS820101)	161.354	*	*	*
Average relative fractional occurrence in AR(i) (RACS820102)	417.443	*	*	*
Average relative fractional occurrence in AL(i) (RACS820103)	385.469	*	*	*
Average relative fractional occurrence in EL(i) (RACS820104)	101.478	*	*	*
Average relative fractional occurrence in E0(i) (RACS820105)	328.666	*	*	*
Average relative fractional occurrence in ER(i) (RACS820106)	261.791	*	*	*
Average relative fractional occurrence in A0(i-1) (RACS820107)	398.084	*	*	*
Average relative fractional occurrence in AR(i-1) (RACS820108)	255.571	*	*	*
Average relative fractional occurrence in AL(i-1) (RACS820109)	350.127	*	*	*
Average relative fractional occurrence in EL(i-1) (RACS820110)	264.022	*	*	*
Average relative fractional occurrence in E0(i-1) (RACS820111)	194.076	*	*	*
Average relative fractional occurrence in ER(i-1) (RACS820112)	252.792	*	*	*
Value of theta(i) (RACS820113)	318.128	*	*	*
Value of theta(i-1) (RACS820114)	313.374	*	*	*
Transfer free energy from chx to wat (RADA880101)	326.604	*	*	*
Transfer free energy from oct to wat (RADA880102)	445.805	*	*	*
Transfer free energy from vap to chx (RADA880103)	230.468	*	*	*
Transfer free energy from chx to oct (RADA880104)	379.958	*	*	*
Transfer free energy from vap to oct (RADA880105)	397.999	*	*	*
Accessible surface area (RADA880106)	483.75	*	*	*
Energy transfer from out to in (95%buried) (RADA880107)	248.336	*	*	*
Mean polarity (RADA880108)	455.761	*	*	*
Relative preference value at N" (RICJ880101)	347.061	*	*	*
Relative preference value at N-cap (RICJ880103)	356.778	*	*	*
Relative preference value at N1 (RICJ880104)	453.592	*	*	*
Relative preference value at N2 (RICJ880105)	190.761	*	*	*
Relative preference value at N3 (RICJ880106)	258.633	*	*	*
Relative preference value at N4 (RICJ880107)	155.394	*	*	*
Relative preference value at N5 (RICJ880108)	234.62	*	*	*
Relative preference value at Mid (RICJ880109)	164.677	*	*	*
Relative preference value at C5 (RICJ880110)	231.819	*	*	*
Relative preference value at C4 (RICJ880111)	319.821	*	*	*
Relative preference value at C3 (RICJ880112)	162.245	*	*	*
Relative preference value at C2 (RICJ880113)	362.294	*	*	*
Relative preference value at C1 (RICJ880114)	131.221	*	*	*
Relative preference value at C-cap (RICJ880115)	303.545	*	*	*
Relative preference value at C' (RICJ880116)	199.477	*	*	*
Relative preference value at C" (RICJ880117)	271.892	*	*	*
Information measure for alpha-helix (ROBB760101)	246.369	*	*	*
Information measure for N-terminal helix (ROBB760102)	141.356	*	*	*
Information measure for middle helix (ROBB760103)	129.584	*	*	*
Information measure for C-terminal helix (ROBB760104)	278.026	*	*	*
Information measure for extended (ROBB760105)	389.073	*	*	*
Information measure for pleated-sheet (ROBB760106)	331.644	*	*	*
Information measure for extended without H-bond (ROBB760107)	264.143	*	*	*
Information measure for turn (ROBB760108)	325.372	*	*	*
Information measure for N-terminal turn (ROBB760109)	446.654	*	*	*
Information measure for middle turn (ROBB760110)	228.805	*	*	*
Information measure for C-terminal turn (ROBB760111)	262.031	*	*	*
Information measure for coil (ROBB760112)	226.023	*	*	*
Information measure for loop (ROBB760113)	304.136	*	*	*
Hydration free energy (ROBB790101)	253.807	*	*	*
Mean area buried on transfer (ROSG850101)	328.887	*	*	*
Mean fractional area loss (ROSG850102)	395.799	*	*	*
Side chain hydropathy, uncorrected for solvation (ROSM880101)	342.582	*	*	*
Side chain hydropathy, corrected for solvation (ROSM880102)	302.719	*	*	*
Loss of Side chain hydropathy by helix formation (ROSM880103)	210.406	*	*	*
Transfer free energy (Simon, 1976), Cited by Charton-Charton (SIMZ760101)	592.053	*	*	*
Principal component I (SNEP660101)	346.678	*	*	*
Principal component II (SNEP660102)	246.299	*	*	*
Principal component III (SNEP660103)	314.016	*	*	*
Principal component IV (SNEP660104)	461.146	*	*	*
Zimm-Bragg parameter s at 20 C (SUEM840101)	296.808	*	*	*
Zimm-Bragg parameter sigma x 1.0E4 (SUEM840102)	305.309	*	*	*
Optimal matching hydrophobicity (SWER830101)	212.916	*	*	*
Normalized frequency of alpha-helix (TANS770101)	202.301	*	*	*
Normalized frequency of isolated helix (TANS770102)	433.961	*	*	*
Normalized frequency of extended structure (TANS770103)	319.704	*	*	*
Normalized frequency of chain reversal R (TANS770104)	88.711	*	*	*
Normalized frequency of chain reversal S (TANS770105)	295.487	*	*	*
Normalized frequency of chain reversal D (TANS770106)	183.434	*	*	*
Normalized frequency of left-handed helix (TANS770107)	368.554	*	*	*
Normalized frequency of zeta R (TANS770108)	203.428	*	*	*
Normalized frequency of coil (TANS770109)	423.178	*	*	*
Normalized frequency of chain reversal (TANS770110)	245.539	*	*	*
Relative population of conformational state A (VASM830101)	249.478	*	*	*
Relative population of conformational state C (VASM830102)	711.728	*	*	*
Relative population of conformational state E (VASM830103)	344.052	*	*	*
Electron-ion interaction potential (VELV850101)	322.146	*	*	*
Bitterness (VENT840101)	179.566	*	*	*
Transfer free energy to lipophilic phase (VHEG790101)	255.466	*	*	*
Average interactions per side chain atom (WARP780101)	126.607	*	*	*
RF value in high salt chromatography (WEBA780101)	149.043	*	*	*
Propensity to be buried inside (WERD780101)	406.719	*	*	*
Free energy change of epsilon(i) to epsilon(ex) (WERD780102)	269.108	*	*	*
Free energy change of alpha(Ri) to alpha(Rh) (WERD780103)	212.392	*	*	*
Free energy change of epsilon(i) to alpha(Rh) (WERD780104)	224.852	*	*	*
Polar requirement (WOEC730101)	272.073	*	*	*
Hydration potential (WOLR810101)	430.132	*	*	*
Principal property value z1 (WOLS870101)	181.409	*	*	*
Principal property value z2 (WOLS870102)	212.958	*	*	*
Principal property value z3 (WOLS870103)	200.605	*	*	*
Unfolding Gibbs energy in water, pH7.0 (YUTK870101)	346.079	*	*	*
Unfolding Gibbs energy in water, pH9.0 (YUTK870102)	303.799	*	*	*
Activation Gibbs energy of unfolding, pH7.0 (YUTK870103)	79.465	*	*	*
Activation Gibbs energy of unfolding, pH9.0 (YUTK870104)	79.465	*	*	*
Dependence of partition coefficient on ionic strength (ZASB820101)	551.227	*	*	*
Hydrophobicity (ZIMJ680101)	589.335	*	*	*
Bulkiness (ZIMJ680102)	287.964	*	*	*
Polarity (ZIMJ680103)	290.569	*	*	*
Isoelectric point (ZIMJ680104)	317.734	*	*	*
RF rank (ZIMJ680105)	406.242	*	*	*
Normalized positional residue frequency at helix termini N4'(AURR980101)	163.103	*	*	*
Normalized positional residue frequency at helix termini N"' (AURR980102)	211.469	*	*	*
Normalized positional residue frequency at helix termini N" (AURR980103)	325.022	*	*	*
Normalized positional residue frequency at helix termini N'(AURR980104)	189.1	*	*	*
Normalized positional residue frequency at helix termini Nc (AURR980105)	237.251	*	*	*
Normalized positional residue frequency at helix termini N1 (AURR980106)	192.701	*	*	*
Normalized positional residue frequency at helix termini N2 (AURR980107)	176.044	*	*	*
Normalized positional residue frequency at helix termini N3 (AURR980108)	203.97	*	*	*
Normalized positional residue frequency at helix termini N4 (AURR980109)	209.234	*	*	*
Normalized positional residue frequency at helix termini N5 (AURR980110)	245.046	*	*	*
Normalized positional residue frequency at helix termini C5 (AURR980111)	229.002	*	*	*
Normalized positional residue frequency at helix termini C4 (AURR980112)	220.358	*	*	*
Normalized positional residue frequency at helix termini C3 (AURR980113)	156.227	*	*	*
Normalized positional residue frequency at helix termini C2 (AURR980114)	211.907	*	*	*
Normalized positional residue frequency at helix termini C1 (AURR980115)	113.99	*	*	*
Normalized positional residue frequency at helix termini Cc (AURR980116)	323.127	*	*	*
Normalized positional residue frequency at helix termini C' (AURR980117)	288.684	*	*	*
Normalized positional residue frequency at helix termini C" (AURR980118)	265.031	*	*	*
Normalized positional residue frequency at helix termini C"' (AURR980119)	217.34	*	*	*
Normalized positional residue frequency at helix termini C4' (AURR980120)	310.353	*	*	*
Delta G values for the peptides extrapolated to 0 M urea (ONEK900101)	200.35	*	*	*
Helix formation parameters (delta delta G) (ONEK900102)	23.136	*	*
Normalized flexibility parameters (B-values), average (VINM940101)	604.751	*	*	*
Normalized flexibility parameters (B-values) for each residue surrounded by none rigid neighbours (VINM940102)	507.369	*	*	*
Normalized flexibility parameters (B-values) for each residue surrounded by one rigid neighbours (VINM940103)	390.636	*	*	*
Normalized flexibility parameters (B-values) for each residue surrounded by two rigid neighbours (VINM940104)	261.82	*	*	*
Free energy in alpha-helical conformation (MUNV940101)	132.914	*	*	*
Free energy in alpha-helical region (MUNV940102)	397.578	*	*	*
Free energy in beta-strand conformation (MUNV940103)	253.155	*	*	*
Free energy in beta-strand region (MUNV940104)	303.03	*	*	*
